,time,friends_count,lat,long,language
0,2014-07-28 16:58:48,148,-37.97935827,145.05330569,en
1,2014-07-28 16:59:43,112,-37.83740582,144.99653022,en
2,2014-07-28 17:00:02,29,-37.97638889,145.05,et
3,2014-07-28 17:02:37,116,-37.8145954,145.2093681,en
4,2014-07-28 17:02:47,312,-37.8624047,145.1521522,en
5,2014-07-28 17:03:36,116,-37.8145955,145.2093681,en
6,2014-07-28 17:05:24,299,-37.8014443,144.96389185,en
7,2014-07-28 17:06:50,116,-37.8145969,145.2093705,en
8,2014-07-28 17:08:48,116,-37.8145959,145.2093684,en
9,2014-07-28 17:21:06,116,-37.8145953,145.2093721,en
10,2014-07-28 17:23:22,956,-37.67618181,145.02939625,en
11,2014-07-28 18:50:17,479,-38.13538193,145.13381942,en
12,2014-07-28 23:50:16,11,-37.8084287,144.9763689,en
13,2014-07-28 23:52:01,355,-37.69393447,144.87472278,en
14,2014-07-28 23:52:10,416,-37.72535412,144.88122256,en
15,2014-07-28 23:52:49,406,-37.84541502,145.04632629,en
16,2014-07-28 23:55:06,91,-37.77914544,144.72584453,en
17,2014-07-28 23:55:30,872,-37.95189044,145.08668369,en
18,2014-07-28 23:56:14,55,-37.81243226,144.96070785,en
19,2014-07-28 23:56:17,78,-37.80866,144.94893,en
20,2014-07-28 23:56:37,55,-37.81207242,144.96060877,nl
21,2014-07-28 23:56:47,943,-37.6703162,144.845962,en
22,2014-07-28 23:57:49,129,-37.83159921,144.78052104,tl
23,2014-07-28 23:58:29,189,-37.6954027,144.8828677,en
24,2014-07-28 23:58:34,506,-37.83906055,144.8565778,en
25,2014-07-28 23:59:04,16,-37.87689292,144.74226353,nl
26,2014-07-28 23:59:08,97,-37.9415818,145.0299547,fr
27,2014-07-28 23:59:40,1114,-37.815087,144.9582174,en
28,2014-07-28 23:59:44,949,-37.81675364,144.96618271,en
29,2014-07-29 00:00:02,429,-37.80766358,144.97844493,en
30,2014-07-29 00:00:03,29,-37.97638889,145.05,et
31,2014-07-29 00:00:41,73,-37.80251091,144.94958729,en
32,2014-07-29 00:00:59,943,-37.67027293,144.84603729,en
33,2014-07-29 00:02:03,154,-37.73478396,145.04619919,en
34,2014-07-29 00:02:17,400,-37.97169876,145.2184906,en
35,2014-07-29 00:03:38,116,-37.8203639,144.9575584,en
36,2014-07-29 00:04:41,171,-37.82707329,144.9664852,en
37,2014-07-29 00:04:45,468,-37.84002309,144.98573608,en
